material,x,y,z,photons,electrons,SL,E
scintillator,0,3,22,False,True,False,False
scintillator,0,3,23,True,True,True,False
scintillator,0,3,24,False,False,True,False
scintillator,0,3,25,False,False,True,False
scintillator,0,3,26,False,True,True,False
scintillator,0,3,27,False,False,False,False
scintillator,0,3,28,False,False,False,True
scintillator,0,3,29,False,False,False,False
scintillator,0,3,30,True,False,False,False
scintillator,0,3,31,False,False,False,False
scintillator,0,3,32,False,False,True,False
scintillator,0,3,33,False,False,True,False
scintillator,0,3,34,False,False,True,False
scintillator,0,3,35,False,False,True,False
scintillator,0,3,36,False,False,True,False
scintillator,0,3,37,False,True,False,False
scintillator,0,3,38,True,True,False,False
scintillator,0,3,39,False,False,False,False
scintillator,0,3,40,False,False,False,False
scintillator,0,3,41,False,True,False,False
scintillator,0,3,42,True,False,False,False
scintillator,0,3,43,False,True,True,False
scintillator,0,3,44,False,False,True,False
scintillator,0,3,45,True,False,False,False
scintillator,0,3,46,True,False,False,False
scintillator,0,3,47,False,True,False,False
scintillator,0,3,48,False,True,True,False
scintillator,0,3,49,False,False,True,False
scintillator,0,3,50,False,False,False,False
scintillator,0,3,51,False,False,False,False
scintillator,0,3,52,True,False,True,False
scintillator,0,3,53,False,False,False,False
scintillator,0,3,54,True,False,False,False
scintillator,0,3,55,True,False,True,False
scintillator,0,3,56,True,False,False,False
scintillator,0,3,57,True,False,True,False
scintillator,0,3,58,False,True,True,False
scintillator,0,3,59,True,True,True,False
scintillator,0,3,60,False,True,True,False
scintillator,0,3,61,False,True,True,False
scintillator,0,3,62,False,False,True,False
scintillator,0,3,63,False,True,True,False
scintillator,0,3,64,False,False,True,False
scintillator,0,3,65,False,False,False,False
scintillator,0,3,66,False,True,True,False
scintillator,0,4,0,True,False,True,False
scintillator,0,4,1,True,True,True,False
scintillator,0,4,2,False,False,True,False
scintillator,0,4,3,False,True,True,False
scintillator,0,4,4,False,True,False,False
scintillator,0,4,5,False,True,False,False
scintillator,0,4,6,False,True,False,False
scintillator,0,4,7,False,False,False,False
scintillator,0,4,8,True,False,False,False
scintillator,0,4,9,True,False,False,False
scintillator,0,4,10,True,False,False,False
scintillator,0,4,11,False,False,False,False
scintillator,0,4,12,False,True,False,False
scintillator,0,4,13,False,True,False,False
scintillator,0,4,14,True,True,True,False
scintillator,0,4,15,False,True,False,False
scintillator,0,4,16,True,False,True,False
scintillator,0,4,17,True,False,True,False
scintillator,0,4,18,False,False,False,False
scintillator,0,4,19,False,False,False,False
scintillator,0,4,20,False,True,True,False
scintillator,0,4,21,True,False,False,False
scintillator,0,4,22,False,False,True,False
scintillator,0,4,23,False,True,True,False
scintillator,0,4,24,False,True,True,False
scintillator,0,4,25,False,True,False,False
scintillator,0,4,26,False,True,False,False
scintillator,0,4,27,False,True,True,False
scintillator,0,4,28,False,True,False,False
scintillator,0,4,29,False,True,True,False
scintillator,0,4,30,False,True,True,False
scintillator,0,4,31,False,True,True,False
scintillator,0,4,32,False,False,True,False
scintillator,0,4,33,False,True,True,False
scintillator,0,4,34,False,False,True,False
scintillator,0,4,35,False,True,True,False
scintillator,0,4,36,False,False,True,False
scintillator,0,4,37,False,True,True,False
scintillator,0,4,38,False,True,True,False
scintillator,0,4,39,True,True,True,False
scintillator,0,4,40,True,True,True,False
scintillator,0,4,41,False,True,True,False
scintillator,0,4,42,False,False,True,False
scintillator,0,4,43,False,False,True,False
scintillator,0,4,44,False,False,True,False
scintillator,0,4,45,False,True,True,False
scintillator,0,4,46,False,True,True,False
scintillator,0,4,47,True,True,True,False
scintillator,0,4,48,False,False,True,False
scintillator,0,4,49,False,True,True,False
scintillator,0,4,50,True,True,True,False
scintillator,0,4,51,False,True,True,False
scintillator,0,4,52,False,True,True,False
scintillator,0,4,53,False,True,True,False
scintillator,0,4,54,False,False,True,False
scintillator,0,4,55,True,True,True,False
scintillator,0,4,56,False,True,True,False
scintillator,0,4,57,False,False,True,False
scintillator,0,4,58,False,False,True,False
scintillator,0,4,59,False,True,True,False
scintillator,0,4,60,True,False,True,False
scintillator,0,4,61,False,True,True,False
scintillator,0,4,62,False,False,True,False
scintillator,0,4,63,False,True,True,False
scintillator,0,4,64,False,False,True,False
scintillator,0,4,65,False,False,True,False
scintillator,0,4,66,True,True,True,False
scintillator,0,5,0,False,False,True,False
scintillator,0,5,1,True,True,True,False
scintillator,0,5,2,False,False,True,False
scintillator,0,5,3,True,False,True,False
scintillator,0,5,4,False,True,True,False
scintillator,0,5,5,False,True,True,False
scintillator,0,5,6,True,False,True,False
scintillator,0,5,7,False,False,True,False
scintillator,0,5,8,False,True,True,False
scintillator,0,5,9,False,False,True,False
scintillator,0,5,10,False,False,True,False
scintillator,0,5,11,False,False,True,False
scintillator,0,5,12,False,True,True,False
scintillator,0,5,13,False,False,True,False
scintillator,0,5,14,True,True,True,False
scintillator,0,5,15,False,True,True,False
scintillator,0,5,16,False,True,True,False
scintillator,0,5,17,False,True,True,False
scintillator,0,5,18,False,False,True,False
scintillator,0,5,19,False,True,True,True
scintillator,0,5,20,False,True,True,False
scintillator,0,5,21,False,True,True,False
scintillator,0,5,22,False,True,True,False
scintillator,0,5,23,True,False,True,True
scintillator,0,5,24,True,True,True,False
scintillator,0,5,25,False,False,True,True
scintillator,0,5,26,False,True,True,False
scintillator,0,5,27,False,True,True,False
scintillator,0,5,28,False,True,True,True
scintillator,0,5,29,False,True,True,False
scintillator,0,5,30,False,True,True,True
scintillator,0,5,31,False,False,True,False
scintillator,0,5,32,True,True,True,False
scintillator,0,5,33,False,False,True,False
scintillator,0,5,34,False,True,True,False
scintillator,0,5,35,False,True,True,False
scintillator,0,5,36,True,True,True,False
scintillator,0,5,37,False,False,True,False
scintillator,0,5,38,False,True,True,False
scintillator,0,5,39,False,True,True,False
scintillator,0,5,40,False,True,True,True
scintillator,0,5,41,False,True,True,True
scintillator,0,5,42,False,True,True,False
scintillator,0,5,43,True,False,True,True
scintillator,0,5,44,False,False,True,False
scintillator,0,5,45,False,True,True,False
scintillator,0,5,46,False,False,True,False
scintillator,0,5,47,False,True,True,False
scintillator,0,5,48,False,True,True,False
scintillator,0,5,49,False,True,True,False
scintillator,0,5,50,False,True,True,False
scintillator,0,5,51,False,True,True,False
scintillator,0,5,52,False,False,True,False
scintillator,0,5,53,False,True,True,False
scintillator,0,5,54,False,True,True,True
scintillator,0,5,55,False,True,True,False
scintillator,0,5,56,False,True,True,False
scintillator,0,5,57,False,True,True,True
scintillator,0,5,58,False,True,True,False
scintillator,0,5,59,False,False,True,False
scintillator,0,5,60,False,True,True,False
scintillator,0,5,61,False,False,True,False
scintillator,0,5,62,False,True,True,False
scintillator,0,5,63,False,True,True,False
scintillator,0,5,64,False,False,True,False
scintillator,0,5,65,False,True,True,False
scintillator,0,5,66,False,False,True,False
scintillator,0,6,0,False,False,True,True
scintillator,0,6,1,False,False,True,False
scintillator,0,6,2,False,False,True,False
scintillator,0,6,3,False,False,True,False
scintillator,0,6,4,False,True,True,False
scintillator,0,6,5,False,False,True,False
scintillator,0,6,6,False,False,True,False
scintillator,0,6,7,False,False,True,False
scintillator,0,6,8,False,False,True,False
scintillator,0,6,9,False,False,True,False
scintillator,0,6,10,False,False,True,False
scintillator,0,6,11,False,False,True,False
scintillator,0,6,12,False,False,True,False
scintillator,0,6,13,False,False,True,False
scintillator,0,6,14,False,False,True,False
scintillator,0,6,15,False,False,True,False
scintillator,0,6,16,False,True,True,False
scintillator,0,6,17,False,False,True,False
scintillator,0,6,18,False,False,True,False
scintillator,0,6,19,False,False,True,False
scintillator,0,6,20,False,False,True,False
scintillator,0,6,21,False,False,True,False
scintillator,0,6,22,False,False,True,False
scintillator,0,6,23,False,False,True,False
scintillator,0,6,24,False,False,True,False
scintillator,0,6,25,False,False,True,False
scintillator,0,6,26,False,False,True,False
scintillator,0,6,27,False,False,True,False
scintillator,0,6,28,False,False,True,True
scintillator,0,6,29,False,False,True,False
scintillator,0,6,30,False,False,True,False
scintillator,0,6,31,False,False,True,False
scintillator,0,6,32,False,False,True,False
scintillator,0,6,33,False,False,True,False
scintillator,0,6,34,False,False,True,False
scintillator,0,6,35,False,False,True,False
scintillator,0,6,36,False,False,True,False
scintillator,0,6,37,False,False,True,False
scintillator,0,6,38,False,False,True,False
scintillator,0,6,39,False,False,True,False
scintillator,0,6,40,False,False,True,False
scintillator,0,6,41,False,False,True,False
scintillator,0,6,42,False,False,True,False
scintillator,0,6,43,False,False,True,False
scintillator,0,6,44,False,False,True,False
scintillator,0,6,45,False,False,True,False
scintillator,0,6,46,False,False,True,False
scintillator,0,6,47,False,False,True,False
scintillator,0,6,48,False,False,False,False
scintillator,0,6,49,False,False,False,False
scintillator,0,6,50,False,False,True,False
scintillator,0,6,51,False,False,True,False
scintillator,0,6,52,False,False,True,False
scintillator,0,6,53,False,False,True,False
scintillator,0,6,54,False,False,True,False
scintillator,0,6,55,False,False,True,False
scintillator,0,6,56,False,False,False,False
scintillator,0,6,57,False,False,False,False
scintillator,0,6,58,False,False,True,False
scintillator,0,6,59,False,False,True,False
scintillator,0,6,60,False,False,True,False
scintillator,0,6,61,False,False,False,False
scintillator,0,6,62,False,False,True,False
scintillator,0,6,63,False,False,True,False
scintillator,0,6,64,False,False,True,False
scintillator,0,6,65,False,False,True,False
scintillator,0,6,66,False,False,True,False
scintillator,0,7,0,False,False,True,False
scintillator,0,7,1,False,False,False,False
scintillator,0,7,2,False,False,True,False
scintillator,0,7,3,False,False,True,False
scintillator,0,7,4,False,False,False,False
scintillator,0,7,5,False,False,True,False
scintillator,0,7,6,False,False,True,False
scintillator,0,7,7,False,False,False,False
scintillator,0,7,8,False,False,True,False
scintillator,0,7,9,False,False,True,False
scintillator,0,7,10,False,False,False,False
scintillator,0,7,11,False,False,True,False
scintillator,0,7,12,False,False,False,False
scintillator,0,7,13,False,False,False,False
scintillator,0,7,14,False,False,False,False
scintillator,0,7,15,False,False,False,False
scintillator,0,7,16,False,False,False,False
scintillator,0,7,17,False,False,False,False
scintillator,0,7,18,False,False,True,False
scintillator,0,7,19,False,False,False,False
scintillator,0,7,20,False,False,False,False
scintillator,0,7,21,False,False,False,False
scintillator,0,7,22,False,False,False,False
scintillator,0,7,23,False,False,False,False
scintillator,0,7,24,False,False,False,False
scintillator,0,7,25,False,False,False,False
scintillator,0,7,26,False,False,False,False
scintillator,0,7,27,False,False,False,False
scintillator,0,7,28,False,False,False,False
scintillator,0,7,29,False,False,False,False
scintillator,0,7,30,False,False,False,False
scintillator,0,7,31,False,False,False,False
scintillator,0,7,32,False,False,False,False
scintillator,0,7,33,False,False,False,False
scintillator,0,7,34,False,False,False,False
scintillator,0,7,35,False,False,False,False
scintillator,0,7,36,False,False,False,False
scintillator,0,7,37,False,False,False,False
scintillator,0,7,38,False,False,False,False
scintillator,0,7,39,False,False,False,False
scintillator,0,7,40,False,False,False,False
scintillator,0,7,41,False,False,False,False
scintillator,0,7,42,False,False,False,False
scintillator,0,7,43,False,False,False,False
scintillator,0,7,44,False,False,False,False
scintillator,0,7,45,False,False,False,False
scintillator,0,7,46,False,False,False,False
scintillator,0,7,47,False,False,False,False
scintillator,0,7,48,False,False,False,False
scintillator,0,7,49,False,False,False,False
scintillator,0,7,50,False,False,False,False
scintillator,0,7,51,False,False,False,False
scintillator,0,7,52,False,False,False,False
scintillator,0,7,53,False,False,False,False
scintillator,0,7,54,False,False,False,False
scintillator,0,7,55,False,False,False,False
scintillator,0,7,56,False,False,False,False
scintillator,0,7,57,False,False,False,False
scintillator,0,7,58,False,False,False,False
scintillator,0,7,59,False,False,False,False
scintillator,0,7,60,False,False,False,False
scintillator,0,7,61,False,False,False,False
scintillator,0,7,62,False,False,False,False
scintillator,0,7,63,False,False,False,False
scintillator,0,7,64,False,False,False,False
scintillator,0,7,65,False,False,False,False
scintillator,0,7,66,False,False,False,False
scintillator,0,8,0,False,False,False,False
scintillator,0,8,1,False,False,False,False
scintillator,0,8,2,False,False,False,False
scintillator,0,8,3,False,False,False,False
scintillator,0,8,4,False,False,False,False
scintillator,0,8,5,False,False,False,False
scintillator,0,8,6,False,False,False,False
scintillator,0,8,7,False,False,False,False
scintillator,0,8,8,False,False,False,False
scintillator,0,8,9,False,False,False,False
scintillator,0,8,10,False,False,False,False
scintillator,0,8,11,False,False,False,False
scintillator,0,8,12,False,False,False,False
scintillator,0,8,13,False,False,False,False
scintillator,0,8,14,False,False,False,False
scintillator,0,8,15,False,False,False,False
scintillator,0,8,16,False,False,False,False
scintillator,0,8,17,False,False,False,False
scintillator,0,8,18,False,False,False,False
scintillator,0,8,19,False,False,False,False
scintillator,0,8,20,False,False,False,False
scintillator,0,8,21,False,False,False,False
scintillator,0,8,22,False,False,False,False
scintillator,0,8,23,False,False,False,False
scintillator,0,8,24,False,False,False,False
scintillator,0,8,25,False,False,False,False
scintillator,0,8,26,False,False,False,False
scintillator,0,8,27,False,False,False,False
scintillator,0,8,28,False,False,False,False
scintillator,0,8,29,False,False,False,False
scintillator,0,8,30,False,False,False,False
scintillator,0,8,31,False,False,False,False
scintillator,0,8,32,False,False,False,False
scintillator,0,8,33,False,False,False,False
scintillator,0,8,34,False,False,False,False
scintillator,0,8,35,False,False,False,False
scintillator,0,8,36,False,False,False,False
scintillator,0,8,37,False,False,False,False
scintillator,0,8,38,False,False,False,False
scintillator,0,8,39,False,False,False,False
scintillator,0,8,40,False,False,False,False
scintillator,0,8,41,False,False,False,False
scintillator,0,8,42,False,False,False,False
scintillator,0,8,43,False,False,False,False
scintillator,0,8,44,False,False,False,False
scintillator,0,8,45,False,False,False,False
scintillator,0,8,46,False,False,False,False
scintillator,0,8,47,False,False,False,False
scintillator,0,8,48,False,False,False,False
scintillator,0,8,49,False,False,False,False
scintillator,0,8,50,False,False,False,False
scintillator,0,8,51,False,False,False,False
scintillator,0,8,52,False,False,False,False
scintillator,0,8,53,False,False,False,False
scintillator,0,8,54,False,False,False,False
scintillator,0,8,55,False,False,False,False
scintillator,0,8,56,False,False,False,False
scintillator,0,8,57,False,False,False,False
scintillator,0,8,58,False,False,False,False
scintillator,0,8,59,False,False,False,False
scintillator,0,8,60,False,False,False,False
scintillator,0,8,61,False,False,False,False
scintillator,0,8,62,False,False,False,False
scintillator,0,8,63,False,False,False,False
scintillator,0,8,64,False,False,False,False
scintillator,0,8,65,False,False,False,False
scintillator,0,8,66,False,False,False,False
scintillator,0,9,0,False,False,False,False
scintillator,0,9,1,False,False,False,False
scintillator,0,9,2,False,False,False,False
scintillator,0,9,3,False,False,False,False
scintillator,0,9,4,False,False,False,False
scintillator,0,9,5,False,False,False,False
scintillator,0,9,6,False,False,False,False
scintillator,0,9,7,False,False,False,False
scintillator,0,9,8,False,False,False,False
scintillator,0,9,9,False,False,False,False
scintillator,0,9,10,False,False,False,False
scintillator,0,9,11,False,False,False,False
scintillator,0,9,12,False,False,False,False
